1;1;1;1;1;1;1
2;1;1;1;1;1;1
3;1;1;2;2;2;2
4;2;2;3;3;3;3
5;2;2;3;3;3;3
6;2;2;3;3;3;3
7;2;2;3;3;3;3
8;2;2;3;3;3;3
9;1;1;1;1;1;1
10;2;2;3;3;3;3
11;2;2;3;3;3;4
12;2;2;3;3;3;4
13;2;2;3;3;3;3
14;2;2;3;3;3;3
15;2;2;3;3;3;3
16;2;2;3;3;3;3
17;2;2;3;3;3;3
18;2;2;3;3;3;3
19;2;2;3;3;3;3
20;2;2;3;3;3;3
21;2;2;3;3;3;3
22;1;1;2;2;2;2
23;1;1;1;1;1;1
24;2;2;3;3;3;4
25;2;2;3;3;3;4
26;2;3;4;4;4;5
27;2;2;3;3;3;4
28;2;2;3;3;3;4
29;2;2;3;3;3;3
30;1;1;2;2;2;2
31;2;2;3;3;3;4
32;2;3;4;4;4;5
33;2;2;3;3;3;4
34;2;2;3;3;3;4
35;2;2;3;3;3;4
36;1;1;1;1;1;1
37;1;1;1;1;1;1
38;1;1;2;2;2;2
39;1;1;1;1;1;1
40;2;2;3;3;3;4
41;2;2;3;3;3;4
42;2;2;3;3;3;4
43;1;1;1;1;1;1
44;1;1;1;1;1;1
45;2;2;3;3;3;4
46;2;2;3;3;3;4
47;2;2;3;3;3;4
48;2;2;3;3;3;4
49;2;2;3;3;3;4
50;1;1;1;1;1;1
51;1;1;1;1;1;1
52;2;2;3;3;3;4
53;2;2;3;3;3;4
54;2;2;3;3;3;4
55;1;1;1;1;1;1
56;1;1;1;1;1;1
57;1;1;1;1;1;1
58;1;1;1;1;1;1
59;1;1;1;1;1;1
60;1;1;1;1;1;1
61;1;1;2;2;2;2
62;2;2;3;3;3;3
63;1;1;2;2;2;2
64;1;1;2;2;2;2
65;1;1;2;2;2;2
66;2;2;3;3;3;3
67;2;2;3;3;3;3
68;1;1;2;2;2;2
69;2;3;4;4;4;5
70;2;3;4;4;4;5
71;1;1;2;2;2;2
72;1;1;2;2;2;2
73;2;3;4;4;4;5
74;2;3;4;4;4;5
75;2;2;3;3;3;4
76;2;3;4;4;4;5
77;2;3;4;4;4;5
78;2;2;3;3;3;3
79;1;1;2;2;2;2
80;2;3;4;4;5;6
81;2;3;4;4;4;5
82;2;3;4;4;5;6
83;2;3;4;4;4;5
84;2;3;4;4;4;5
85;1;1;2;2;2;2
86;1;1;2;2;2;2
87;2;3;4;4;4;5
88;2;2;3;3;3;4
89;2;2;3;3;3;4
90;2;2;3;3;3;4
91;2;2;3;3;3;3
92;1;1;2;2;2;2
93;1;1;2;2;2;2
94;2;2;3;3;3;4
95;2;2;3;3;3;4
96;2;2;3;3;3;4
97;2;2;3;3;3;4
98;2;2;3;3;3;4
99;1;1;2;2;2;2
100;1;1;2;2;2;2
101;2;2;3;3;3;4
102;2;3;4;4;4;5
103;2;2;3;3;3;4
104;2;2;3;3;3;4
105;2;2;3;3;3;4
